data_type,plink_version,time_sec,n_invididuals,n_phenotypes,n_snps_per_phenotype
PLINK binary filenames,1.9,7.0925726890563965,10,100,1000
PLINK binary filenames,2.0,NA,10,100,1000
PLINK2 binary filenames,1.7,NA,10,100,1000
PLINK2 binary filenames,1.9,NA,10,100,1000
PLINK2 binary filenames,2.0,5.904510259628296,10,100,1000
PLINK text filenames,1.7,0.5962159633636475,100,1,1
PLINK text filenames,1.9,0.6230919361114502,100,1,1
PLINK text filenames,2.0,NA,100,1,1
PLINK binary filenames,1.7,0.7482526302337646,100,1,1
PLINK binary filenames,1.9,0.7560651302337646,100,1,1
PLINK binary filenames,2.0,NA,100,1,1
PLINK2 binary filenames,1.7,NA,100,1,1
PLINK2 binary filenames,1.9,NA,100,1,1
PLINK2 binary filenames,2.0,1.2762620449066162,100,1,1
PLINK text filenames,1.7,0.5590157508850098,100,1,10
PLINK text filenames,1.9,0.562812089920044,100,1,10
PLINK text filenames,2.0,NA,100,1,10
PLINK binary filenames,1.7,0.7370569705963135,100,1,10
PLINK binary filenames,1.9,0.7185559272766113,100,1,10
PLINK binary filenames,2.0,NA,100,1,10
PLINK2 binary filenames,1.7,NA,100,1,10
PLINK2 binary filenames,1.9,NA,100,1,10
PLINK2 binary filenames,2.0,1.1205241680145264,100,1,10
PLINK text filenames,1.7,0.5853302478790283,100,1,100
PLINK text filenames,1.9,0.5814163684844971,100,1,100
PLINK text filenames,2.0,NA,100,1,100
PLINK binary filenames,1.7,0.7096059322357178,100,1,100
PLINK binary filenames,1.9,0.7217710018157959,100,1,100
PLINK binary filenames,2.0,NA,100,1,100
PLINK2 binary filenames,1.7,NA,100,1,100
PLINK2 binary filenames,1.9,NA,100,1,100
PLINK2 binary filenames,2.0,1.1580791473388672,100,1,100
PLINK text filenames,1.7,0.6240262985229492,100,1,1000
PLINK text filenames,1.9,0.5925698280334473,100,1,1000
PLINK text filenames,2.0,NA,100,1,1000
PLINK binary filenames,1.7,0.7447566986083984,100,1,1000
PLINK binary filenames,1.9,0.729689359664917,100,1,1000
PLINK binary filenames,2.0,NA,100,1,1000
PLINK2 binary filenames,1.7,NA,100,1,1000
PLINK2 binary filenames,1.9,NA,100,1,1000
PLINK2 binary filenames,2.0,1.1362576484680176,100,1,1000
PLINK text filenames,1.7,0.5963222980499268,100,10,1
PLINK text filenames,1.9,0.5910806655883789,100,10,1
PLINK text filenames,2.0,NA,100,10,1
PLINK binary filenames,1.7,0.8002793788909912,100,10,1
PLINK binary filenames,1.9,0.6863634586334229,100,10,1
PLINK binary filenames,2.0,NA,100,10,1
PLINK2 binary filenames,1.7,NA,100,10,1
PLINK2 binary filenames,1.9,NA,100,10,1
PLINK2 binary filenames,2.0,1.074962854385376,100,10,1
PLINK text filenames,1.7,0.5963308811187744,100,10,10
PLINK text filenames,1.9,0.5855886936187744,100,10,10
PLINK text filenames,2.0,NA,100,10,10
PLINK binary filenames,1.7,0.7559587955474854,100,10,10
PLINK binary filenames,1.9,0.7355685234069824,100,10,10
PLINK binary filenames,2.0,NA,100,10,10
PLINK2 binary filenames,1.7,NA,100,10,10
PLINK2 binary filenames,1.9,NA,100,10,10
PLINK2 binary filenames,2.0,1.1421611309051514,100,10,10
PLINK text filenames,1.7,0.6707737445831299,100,10,100
PLINK text filenames,1.9,0.6029069423675537,100,10,100
PLINK text filenames,2.0,NA,100,10,100
PLINK binary filenames,1.7,0.7937717437744141,100,10,100
PLINK binary filenames,1.9,0.7488195896148682,100,10,100
PLINK binary filenames,2.0,NA,100,10,100
PLINK2 binary filenames,1.7,NA,100,10,100
PLINK2 binary filenames,1.9,NA,100,10,100
PLINK2 binary filenames,2.0,1.1558701992034912,100,10,100
PLINK text filenames,1.7,1.360917568206787,100,10,1000
PLINK text filenames,1.9,0.6909029483795166,100,10,1000
PLINK text filenames,2.0,NA,100,10,1000
PLINK binary filenames,1.7,1.1738193035125732,100,10,1000
PLINK binary filenames,1.9,0.7953543663024902,100,10,1000
PLINK binary filenames,2.0,NA,100,10,1000
PLINK2 binary filenames,1.7,NA,100,10,1000
PLINK2 binary filenames,1.9,NA,100,10,1000
PLINK2 binary filenames,2.0,1.1713478565216064,100,10,1000
PLINK text filenames,1.7,0.8518831729888916,100,100,1
PLINK text filenames,1.9,0.663743257522583,100,100,1
PLINK text filenames,2.0,NA,100,100,1
PLINK binary filenames,1.7,0.9970085620880127,100,100,1
PLINK binary filenames,1.9,0.798973798751831,100,100,1
PLINK binary filenames,2.0,NA,100,100,1
PLINK2 binary filenames,1.7,NA,100,100,1
PLINK2 binary filenames,1.9,NA,100,100,1
PLINK2 binary filenames,2.0,1.2002084255218506,100,100,1
PLINK text filenames,1.7,1.2619812488555908,100,100,10
PLINK text filenames,1.9,0.7466259002685547,100,100,10
PLINK text filenames,2.0,NA,100,100,10
PLINK binary filenames,1.7,1.4495384693145752,100,100,10
PLINK binary filenames,1.9,0.8461394309997559,100,100,10
PLINK binary filenames,2.0,NA,100,100,10
PLINK2 binary filenames,1.7,NA,100,100,10
PLINK2 binary filenames,1.9,NA,100,100,10
PLINK2 binary filenames,2.0,1.2001676559448242,100,100,10
PLINK text filenames,1.7,5.243391036987305,100,100,100
PLINK text filenames,1.9,1.5110867023468018,100,100,100
PLINK text filenames,2.0,NA,100,100,100
PLINK binary filenames,1.7,5.187994003295898,100,100,100
PLINK binary filenames,1.9,1.6102991104125977,100,100,100
PLINK binary filenames,2.0,NA,100,100,100
PLINK2 binary filenames,1.7,NA,100,100,100
PLINK2 binary filenames,1.9,NA,100,100,100
PLINK2 binary filenames,2.0,1.5658586025238037,100,100,100
PLINK text filenames,1.7,46.73754620552063,100,100,1000
PLINK text filenames,1.9,9.192010164260864,100,100,1000
PLINK text filenames,2.0,NA,100,100,1000
PLINK binary filenames,1.7,42.086243629455566,100,100,1000
PLINK binary filenames,1.9,9.261119604110718,100,100,1000
PLINK binary filenames,2.0,NA,100,100,1000
PLINK2 binary filenames,1.7,NA,100,100,1000
PLINK2 binary filenames,1.9,NA,100,100,1000
PLINK2 binary filenames,2.0,5.324795246124268,100,100,1000
PLINK text filenames,1.7,0.6385934352874756,1000,1,1
PLINK text filenames,1.9,0.616513729095459,1000,1,1
PLINK text filenames,2.0,NA,1000,1,1
PLINK binary filenames,1.7,0.7532546520233154,1000,1,1
PLINK binary filenames,1.9,0.7637970447540283,1000,1,1
PLINK binary filenames,2.0,NA,1000,1,1
PLINK2 binary filenames,1.7,NA,1000,1,1
PLINK2 binary filenames,1.9,NA,1000,1,1
PLINK2 binary filenames,2.0,1.2033846378326416,1000,1,1
PLINK text filenames,1.7,0.5811901092529297,1000,1,10
PLINK text filenames,1.9,0.5708932876586914,1000,1,10
